timestamp_utc,pair,spot,change_pct,dxy,us10y,gold,vix,sp500,bias,raw_response_chars
2026-05-18 06:25,GBPUSD,1.3343,-0.36,99.234,4.595,4544.0,18.42,7409.1802,FALL,1711
2026-05-18 07:00,GBPUSD,1.3354,-0.28,99.187,4.595,4546.7002,18.42,7409.1802,FALL,1725
2026-05-18 08:00,GBPUSD,1.3356,-0.26,99.21,4.595,4545.2002,19.27,7409.1802,FALL,1682
2026-05-18 09:00,GBPUSD,1.3377,-0.11,99.099,4.595,4558.3999,18.92,7409.1802,FALL,1771
2026-05-18 10:00,GBPUSD,1.3365,-0.2,99.159,4.595,4545.7998,18.97,7409.1802,FALL,1655
2026-05-18 11:00,GBPUSD,1.3351,-0.3,99.198,4.595,4545.2002,19.11,7409.1802,FALL,1595
2026-05-18 12:00,GBPUSD,1.3379,-0.09,99.129,4.595,4556.8999,18.72,7409.1802,FALL,1697
2026-05-18 13:00,GBPUSD,1.34,0.07,99.034,4.568,4572.8999,18.36,7409.1802,FALL,1744
2026-05-18 14:01,GBPUSD,1.3393,0.01,99.018,4.577,4580.1001,18.77,7415.3101,FALL,1818
2026-05-18 15:01,GBPUSD,1.3392,0.01,99.084,4.603,4547.8999,18.57,7398.5498,FALL,1767
2026-05-18 16:00,GBPUSD,1.3417,0.19,99.064,4.603,4546.1001,18.69,7378.8901,FALL,1708
2026-05-18 17:01,GBPUSD,1.3429,0.28,99.021,4.595,4556.2998,18.62,7383.5898,FALL,1655
2026-05-18 18:01,GBPUSD,1.342,0.22,99.021,4.599,4551.6001,18.29,7382.5601,FALL,1774
2026-05-18 19:01,GBPUSD,1.3407,0.12,99.139,4.621,4544.6001,18.62,7393.8701,FALL,1714
